"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","54:20:68:74:74:70","31:31:38:20:47:45","802.11","11836","Fragmented IEEE 802.11 frame"
"2","-1996407306.822802","","6e:64:6f:77:73:75 (6e:64:6f:77:73:75) (RA)","802.11","24395","Unrecognized (Reserved frame), Flags=......F.."
"3","-790961440.277736","3a:2f:2f:72:65:67","54:20:68:74:74:70","802.11","12626","Reassociation Request, SN=886, FN=11, Flags=.p.P....."
"4","-722300570.404219","","","WLAN","77","IxVeriWave Radio Tap Capture, Length 0"
"5","-722300570.404219","","","WLAN","77","IxVeriWave Radio Tap Capture, Length 0"
"6","-320981693.357502","20:31:30:2e:34:2e","31:33:2e:34:32:20","LLC","8296","S F, func=SREJ, N(R)=36; DSAP 0x50 Individual, SSAP 0x5e Response"
"7","-1243105807.428496","","","802.11","8207","Unrecognized (Reserved frame), Flags=.p..R..T."
"8","-2141924310.038281","55:45:54:66:41:43","4e:6f:5a:37:4f:72","802.11","11813","Probe Request, SN=1574, FN=12, Flags=.pm..MFT."
"9","164375848.965575","3a:34:34:33:20:2d","74:31:2e:63:6f:6d","802.11","8283","Fragmented IEEE 802.11 frame"
"10","-722300570.404219","","","WLAN","77","IxVeriWave Radio Tap Capture, Length 0"
"11","-26867929.337185","54:2f:31:31:37:2e","39:32:20:44:49:52","802.11","8283","CF-Poll (No data), SN=1076, FN=5, Flags=.pm...FT."
"12","-2141924310.071835","2f:63:74:6c:64:6c","54:20:68:74:74:70","802.11","14136","Null function (No data), SN=755, FN=10, Flags=.p.P..FT."
"13","-171833073.772859","","2f:64:65:74:65:63 (2f:64:65:74:65:63) (RA)","802.11","24371","Control Wrapper, Flags=.pmP....."
"14","-722300570.404219","","","WLAN","77","IxVeriWave Radio Tap Capture, Length 0"
"15","-242204000.265319","","4f:4e:4e:45:43:54 (4f:4e:4e:45:43:54) (RA)","802.11","11832","Unrecognized (Reserved frame), Flags=..mP.M.T."
"16","-1257753630.215914","54:20:69:6e:63:6f","43:4f:4e:4e:45:43","802.11","11835","Fragmented IEEE 802.11 frame"
"17","-171833073.772859","2e:68:74:6d:6c:20","2d:34:36:33:39:36","802.11","11808","Fragmented IEEE 802.11 frame"
"18","-1251571046.185583","20:54:43:50:5f:4d","31:36:30:2e:31:35","802.11","8315","Fragmented IEEE 802.11 frame"
